Date,INFL,FFR,CU,CONS,IND,GDP,CPI,CRB,MB,M1,PPI,EMPL,UNEM,YLD1,YLD2,YLD3,YLD4,YLD5
1/15/1964,1.6465,3.48,,,27.6542,3335.39990234375,30.94,97.3,45042,153.7,33.5,68327,5.600000000000001,3.789,3.893,3.939,3.943,3.984
2/15/1964,1.4254,3.48,,2059.5,27.8418,3335.39990234375,30.91,97,45112,154.3,33.5,68751,5.4,3.947,3.981,4.025,4.01,4.023
3/15/1964,1.4239,3.43,,,27.8418,3348.16650390625,30.94,96.7,45371,154.5,33.4,68763,5.4,3.91,4.076,4.125,4.145,4.073
4/15/1964,1.5334,3.47,,,28.2974,3360.93310546875,30.95,97.40000000000001,45470,154.8,33.5,69356,5.300000000000001,3.783,3.978,4.047,4.082,4.077
5/15/1964,1.5334,3.5,,2095.8,28.4582,3373.699951171875,30.98,98.10000000000001,45651,155.3,33.5,69631,5.100000000000001,3.832,3.918,3.964,4.021,3.979
6/15/1964,1.3086,3.5,,,28.5385,3388.966552734375,31.01,97.10000000000001,45959,155.6,33.5,69218,5.2,3.78,3.779,3.894,3.972,3.977
7/15/1964,1.0858,3.42,,,28.7261,3404.233154296875,31.02,97.2,46143,156.8,33.5,69399,4.9,3.759,3.664,3.868,3.97,4.006
8/15/1964,.9772000000000001,3.5,,2134.3,28.9137,3419.5,31.05,97.60000000000001,46410,157.8,33.6,69463,5,3.813,3.734,3.902,3.991,4.022
9/15/1964,1.3029,3.45,,,29.0209,3422.666748046875,31.08,101.3,46714,158.7,33.6,69578,5.100000000000001,3.897,3.797,3.939,3.995,3.991
10/15/1964,.9740000000000001,3.36,,,28.6189,3425.83349609375,31.12,103.2,46823,159.2,33.6,69582,5.100000000000001,3.906,3.862,3.973,3.999,4.005
11/15/1964,1.2987,3.52,,2140.2,29.5032,3429,31.21,105,47106,160,33.6,69735,4.800000000000001,4.214,4.028,4.094,4.081,4.069
12/15/1964,.9709000000000001,3.85,,,29.8516,3457.10009765625,31.25,105.5,47161,160.3,33.6,69814,5,4.05,3.933,3.975,3.999,4.076
1/15/1965,.9709000000000001,3.9,,,30.1731,3485.2001953125,31.28,104.5,47281,160.7,33.6,69997,4.9,4.077,3.928,3.94,3.974,4.078
2/15/1965,.9709000000000001,3.98,,2187.8,30.3607,3513.300048828125,31.28,104.7,47500,160.9,33.7,70127,5.100000000000001,4.204,4.034,3.997,4.002,4.121
3/15/1965,1.2945,4.04,,,30.7627,3529.166748046875,31.31,104.9,47584,161.5,33.7,70439,4.7,4.14,4.026,4.024,4.003,4.101
4/15/1965,1.6181,4.09,,,30.8967,3545.033447265625,31.38,106.2,47721,162,34,70633,4.800000000000001,4.098,4.024,4.039,4.019,4.117
5/15/1965,1.6181,4.1,,2212,31.1378,3560.89990234375,31.48,108,47799,161.7,34.1,71034,4.600000000000001,4.077,4.03,4.036,4.017,4.12
6/15/1965,1.9355,4.04,,,31.379,3585,31.61,106.5,48061,162.2,34.2,71025,4.600000000000001,3.976,3.932,4.004,4.017,4.094
7/15/1965,1.6077,4.09,,,31.6737,3609.10009765625,31.58,106.4,48281,163,34.1,71460,4.4,4.018,3.999,4.048,4.112,4.121
8/15/1965,1.9355,4.12,,2250,31.8077,3633.199951171875,31.55,105.5,48453,163.7,34.2,71362,4.4,4.172,4.087,4.145,4.165,4.154
9/15/1965,1.6077,4.01,,,31.8881,3662.39990234375,31.62,106.8,48712,164.9,34.3,71286,4.3,4.346,4.246,4.264,4.268,4.248
10/15/1965,1.9293,4.08,,,32.2097,3691.599853515625,31.65,107.7,49029,166,34.4,71695,4.2,4.352,4.255,4.282,4.343,4.32
11/15/1965,1.6026,4.1,,2313.2,32.3437,3720.800048828125,31.75,108.1,49234,166.7,34.5,71724,4.100000000000001,4.436,4.291,4.398,4.432,4.395
12/15/1965,1.9231,4.32,,,32.7456,3751.2666015625,31.85,108.8,49620,167.8,34.7,72062,4,4.886,4.808,4.89,4.878,4.77
1/15/1966,1.9231,4.42,,,33.0672,3781.733154296875,31.88,112,49850,169.1,34.7,72198,4,4.92,4.824,4.901,4.905,4.826
2/15/1966,2.5641,4.600000000000001,,2347.4,33.2816,3812.199951171875,32.08,114.9,50054,169.6,35,72134,3.8,4.98,4.9,4.945,4.994,4.952
3/15/1966,2.5559,4.65,,,33.7371,3816.433349609375,32.18,116.8,50171,170.5,35,72188,3.8,4.93,4.726,4.74,4.779,4.727
4/15/1966,2.8662,4.67,,,33.7907,3820.666748046875,32.28,115,50439,171.8,35.1,72510,3.8,4.99,4.832,4.858,4.84,4.797
5/15/1966,2.8662,4.9,,2353.5,34.1123,3824.89990234375,32.35,114.2,50591,171.3,35.1,72497,3.9,5.09,5.004,4.985,4.998,4.884
6/15/1966,2.5316,5.17,,,34.273,3833.2666015625,32.38,113.8,50754,171.6,34.9,72775,3.8,5.106,5.078,5.12,5.113,5.007
7/15/1966,2.8481,5.3,,,34.4606,3841.63330078125,32.45,113.8,51019,170.3,35.1,72860,3.8,5.246,5.19,5.21,5.225,5.18
8/15/1966,3.481,5.53,,2380.4,34.4874,3850,32.65,113.4,50989,170.8,35.4,73146,3.8,5.931,5.84,5.766,5.8,5.56
9/15/1966,3.481,5.4,,,34.809,3860.39990234375,32.75,111.2,51154,172,35.6,73258,3.7,6,5.391,5.387,5.318,5.147
